日期,持股,收盤價,帳面收入,未配對成本,未配對損益
2026-01-05,100,69.8,6980,7000.0349,-20.03 
2026-01-09,100,69.85,6985,7000.0349,-15.03 
2026-01-16,100,72,7200,7000.0349,199.97 
2026-01-23,100,72.25,7225,7000.0349,224.97 
2026-01-30,100,72.6,7260,7000.0349,259.97 
2026-02-06,100,71.9,7190,7000.0349,189.97 
2026-02-11,100,77.2,7720,7000.0349,719.97 
2026-02-26,100,81.15,8115,7000.0349,1114.97 
2026-03-07,100,76.85,7685,7000.0349,684.97 
2026-03-13,100,75.95,7595,7000.0349,594.97 
2026-03-20,250,75.9,18975,18697.59329,277.41 
2026-03-27,250,75,18750,18697.59329,52.41 
2026-04-02,250,73.95,18487.5,18697.59329,-210.09 
2026-04-10,250,80.75,20187.5,18697.59329,1489.91 
2026-04-17,250,84.15,21037.5,18697.59329,2339.91 
2026-04-24,360,89.95,32382,28131.64081,4250.36 
,,,0,,0.00 
