,,,,,
日期,持股,收盤價,帳面收入,未配對成本,未配對損益
2025-10-03,10,800,8000,8020.04,-20.04 
2025-10-07,10,804,8040,8020.04,19.96 
2025-10-09,10,787,7870,8020.04,-150.04 
2025-10-17,10,759,7590,8020.04,-430.04 
2025-10-23,10,756,7560,8020.04,-460.04 
2025-10-31,10,720,7200,8020.04,-820.04 
2025-11-07,10,726,7260,8020.04,-760.04 
2025-11-14,10,743,7430,8020.04,-590.04 
2025-11-21,10,757,7570,8020.04,-450.04 
2025-11-28,10,743,7430,8020.04,-590.04 
2025-12-05,10,725,7250,8020.04,-770.04 
2025-12-22,10,706,7060,8020.04,-960.04 
2026-01-02,10,730,7300,8020.04,-720.04 
2026-01-09,10,731,7310,8020.04,-710.04 
2026-01-16,10,749,7490,8020.04,-530.04 
2026-01-23,10,738,7380,8020.04,-640.04 
2026-01-30,10,716,7160,8020.04,-860.04 
2026-02-06,10,681,6810,8020.04,"-1,210.04 "
2026-02-11,10,682,6820,8020.04,"-1,200.04 "
2026-02-26,10,695,6950,8020.04,"-1,070.04 "
2026-03-07,10,716,7160,8020.04,-860.04 
2026-03-13,10,722,7220,8020.04,-800.04 
2026-03-20,10,744,7440,8020.04,-580.04 
2026-03-27,10,796,7960,8020.04,-60.04 
2026-04-02,10,755,7550,8020.04,-470.04 
2026-04-10,10,769,7690,8020.04,-330.04 
2026-04-17,10,775,7750,8020.04,-270.04 
2026-04-24,10,753,7530,8020.04,-490.04 
